0,CLO/1,E0013430,1,2016-3-26
1,CLO/1,E0013430,24,2016-3-26
2,STA/1,E0013430,38,2016-3-26
3,CLO/3,E0013430,9,2016-3-26
4,CLO/1,E0013430,1,2016-3-26
5,CLO/3,E0013430,11,2016-3-26
6,CLO/1,E0013430,1,2016-3-26
6,CLO/1,E0013430,10,2016-3-26
7,CLO/1,E0013430,1,2016-3-26
8,CLO/1,E0013430,1,2016-3-26
8,CLO/1,E0013430,2,2016-3-26
9,CLO/1,PUBLIC,2,2016-3-26
10,CLO/1,E0013430,1,2016-3-26
11,CLO/1,PUBLIC,1,2016-3-26
12,CLO/1,PUBLIC,1,2016-3-26
13,CLO/1,PUBLIC,1,2016-3-26
14,CLO/1,PUBLIC,1,2016-3-26
15,CLO/1,PUBLIC,1,2016-3-26
16,CLO/1,PUBLIC,1,2016-3-26
17,CLO/1,PUBLIC,1,2016-3-26
18,CLO/1,PUBLIC,1,2016-3-26
19,CLO/1,E0015301,1,2016-3-26
20,CLO/1,E0013430,1,2016-3-26
21,CLO/1,E0015301,1,2016-3-26
22,CLO/1,E0015301,1,2016-3-26
23,CLO/1,E0013430,1,2016-3-26
23,CLO/1,E0013430,1,2016-3-26
23,CLO/1,E0013430,1,2016-3-26
24,CLO/1,E0013430,1,2016-3-26
25,CLO/1,E0013430,1,2016-3-26
26,MUG/1,E0013430,20,2016-3-26
27,CLO/1,PUBLIC,1,2016-3-26
28,CLO/1,PUBLIC,1,2016-3-26
29,CLO/1,E0013430,1,2016-3-26
30,CLO/1,PUBLIC,19,2016-3-26
